budget,id,popularity,release_date,revenue,runtime,vote_average,vote_count,doy,year,dow,week,genre_drama,genre_comedy,genre_thriller,genre_romance,genre_action,genre_horror,genre_crime,genre_documentary,genre_adventure,genre_science_fiction,other_genre,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,revenue_inflated,budget_inflated,title,keywords,month,month_sin,month_cos
9500000,483.0,8.528622,1990-05-01,14560247,124.0,7.0,341,121,1990,1,18,0.0,0.33,0.33,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,2963,4784,5293,5169,1064,34957577.380579546,22808471.938388526,Wild at Heart,"[{'id': 378, 'name': 'prison'}, {'id': 572, 'name': 'sex'}, {'id': 616, 'name': 'witch'}, {'id': 922, 'name': 'hotel room'}, {'id': 1556, 'name': 'texas'}, {'id': 1872, 'name': 'loss of father'}, {'id': 1926, 'name': 'car journey'}, {'id': 2411, 'name': 'new orleans'}, {'id': 2708, 'name': 'hitman'}, {'id': 2709, 'name': 'snake skin jacket'}, {'id': 2710, 'name': 'fairy'}, {'id': 9826, 'name': 'murder'}, {'id': 9844, 'name': 'car crash'}, {'id': 10685, 'name': 'escape'}, {'id': 10707, 'name': 'mother daughter relationship'}, {'id': 13132, 'name': 'pistol'}, {'id': 14819, 'name': 'violence'}, {'id': 15127, 'name': 'killer'}, {'id': 15363, 'name': 'bank robbery'}, {'id': 33885, 'name': 'car'}, {'id': 160488, 'name': 'hoodlum'}]",5,0.49999999999999994,-0.8660254037844387
3500000,20701.0,5.732016,1990-05-03,16324573,93.0,5.8,92,123,1990,3,18,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,102,11716,2224,884,1231,39193533.1764921,8403121.24045893,Tales from the Darkside: The Movie,"[{'id': 616, 'name': 'witch'}, {'id': 1299, 'name': 'monster'}, {'id': 1786, 'name': 'heart attack'}, {'id': 2904, 'name': 'mummy'}, {'id': 9706, 'name': 'anthology'}, {'id': 10123, 'name': 'dark comedy'}, {'id': 10988, 'name': 'based on tv series'}, {'id': 11181, 'name': 'decapitation'}, {'id': 12666, 'name': 'darkside'}, {'id': 155488, 'name': 'black cat'}, {'id': 166862, 'name': 'severed hand'}, {'id': 204102, 'name': 'gargoyle'}, {'id': 214544, 'name': 'horror anthology'}]",5,0.49999999999999994,-0.8660254037844387
0,21030.0,0.284911,1990-05-04,1373728,95.0,5.7,3,124,1990,4,18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821,2222,41249,777,87007,3298172.2672609044,0.0,Daddy's Dyin'... Who's Got the Will?,[],5,0.49999999999999994,-0.8660254037844387
5200000,23535.0,6.700173,1990-05-11,2459895,99.0,6.3,46,131,1990,4,19,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3039,64062,56890,825,32286,5905941.69251392,12484637.271538982,Class of 1999,"[{'id': 679, 'name': 'cyborg'}, {'id': 1373, 'name': 'killer robot'}, {'id': 2964, 'name': 'future'}, {'id': 4565, 'name': 'dystopia'}, {'id': 7920, 'name': 'violence in schools'}, {'id': 9826, 'name': 'murder'}, {'id': 10508, 'name': 'teacher'}, {'id': 10873, 'name': 'school'}, {'id': 11034, 'name': 'b movie'}, {'id': 12190, 'name': 'cyberpunk'}, {'id': 12670, 'name': 'los angeles'}, {'id': 14544, 'name': 'robot'}, {'id': 14857, 'name': 'juvenile delinquent'}, {'id': 14964, 'name': 'drug'}, {'id': 167254, 'name': 'gang warfare'}, {'id': 190161, 'name': 'parolee'}]",5,0.49999999999999994,-0.8660254037844387
0,5302.0,0.138263,1990-05-11,1218730,90.0,5.0,1,131,1990,4,19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3664,42745,42746,42751,,2926038.842681289,0.0,Without You I'm Nothing,"[{'id': 10183, 'name': 'independent film'}, {'id': 207682, 'name': 'off-broadway'}]",5,0.49999999999999994,-0.8660254037844387
0,10164.0,6.882529,1990-05-18,27575086,97.0,5.3,54,138,1990,4,20,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2157,504,14699,53122,57312,66204797.39259477,0.0,Cadillac Man,"[{'id': 931, 'name': 'jealousy'}, {'id': 1874, 'name': 'car dealer'}, {'id': 2336, 'name': 'ladykiller'}, {'id': 3836, 'name': 'success'}, {'id': 7188, 'name': 'hostage-taking'}]",5,0.49999999999999994,-0.8660254037844387
40000000,196.0,13.043999,1990-05-25,244527583,118.0,7.1,2978,145,1990,4,21,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,521,1062,2453,1065,1063,587084264.7386812,96035671.31953064,Back to the Future Part III,"[{'id': 386, 'name': 'railroad robber'}, {'id': 387, 'name': 'california'}, {'id': 951, 'name': 'delorean'}, {'id': 957, 'name': 'indian territory'}, {'id': 999, 'name': 'sports car'}, {'id': 1436, 'name': 'inventor'}, {'id': 1544, 'name': 'locomotive'}, {'id': 1582, 'name': 'saloon'}, {'id': 2284, 'name': 'horseback riding'}, {'id': 4379, 'name': 'time travel'}, {'id': 9503, 'name': 'outlaw'}, {'id': 9663, 'name': 'sequel'}, {'id': 10125, 'name': 'mad scientist'}, {'id': 10322, 'name': 'native american'}, {'id': 10511, 'name': 'western'}, {'id': 10950, 'name': 'shootout'}, {'id': 12371, 'name': 'gunfight'}, {'id': 13008, 'name': 'train'}, {'id': 155573, 'name': 'wild west'}, {'id': 156234, 'name': 'cavalry'}]",5,0.49999999999999994,-0.8660254037844387
65000000,861.0,12.954444,1990-06-01,261317921,113.0,7.1,1745,152,1990,4,22,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.33,0.33,0.0,1100,4430,10768,780,11086,627396049.2764769,156057965.89423728,Total Recall,"[{'id': 560, 'name': 'oxygen'}, {'id': 769, 'name': 'falsely accused'}, {'id': 836, 'name': 'resistance'}, {'id': 839, 'name': 'mars'}, {'id': 848, 'name': 'double life'}, {'id': 1475, 'name': 'telepathy'}, {'id': 1852, 'name': 'mutant'}, {'id': 3249, 'name': 'hologram'}, {'id': 3388, 'name': 'space colony'}, {'id': 3864, 'name': 'false identity'}, {'id': 4289, 'name': 'secret agent'}, {'id': 4565, 'name': 'dystopia'}, {'id': 12190, 'name': 'cyberpunk'}, {'id': 187008, 'name': 'false memory'}, {'id': 187046, 'name': 'implanted memory'}]",6,1.2246467991473532e-16,-1.0
2500000,27274.0,5.097791,1990-06-01,205068,85.0,5.7,65,152,1990,4,22,0.0,0.33,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.33,0.0,167080,935902,1039536,1039537,172109,492346.0761538377,6002229.457470665,Frankenhooker,"[{'id': 293, 'name': 'female nudity'}, {'id': 549, 'name': 'prostitute'}, {'id': 952, 'name': 'lightning'}, {'id': 1411, 'name': 'brothel'}, {'id': 10122, 'name': 'reanimation'}, {'id': 10123, 'name': 'dark comedy'}, {'id': 10125, 'name': 'mad scientist'}, {'id': 10764, 'name': 'crack cocaine'}, {'id': 11181, 'name': 'decapitation'}, {'id': 13040, 'name': 'electrocution'}, {'id': 14512, 'name': 'new york city'}, {'id': 157444, 'name': 'dismemberment'}, {'id': 198102, 'name': ""frankenstein's monster""}]",6,1.2246467991473532e-16,-1.0
0,25373.0,0.80227,1990-06-01,1,82.0,6.7,6,152,1990,4,22,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57422,13726,7634,1195675,,2.400891782988266,0.0,A Cry in the Wild,[],6,1.2246467991473532e-16,-1.0
